Marca temporal,Género,¿Cuántos años tienes?,¿Qué semestre estás cursando?,Número de horas que dedicas para estudiar a la semana,Promedio general del último semestre cursado,Cantidad de materias aprobadas en el último semestre cursado (25-2),¿Con cuántos lenguajes de programación trabajas con comodidad? ,¿Cuántas herramientas de IA generadoras de texto utilizas comúnmente?,"Generalmente, ¿considera válido el uso de la inteligencia artificial generadora de texto en trabajos académicos?","Aproximadamente, ¿Cuántas veces consultas a una IA generadora de texto en un día?",¿Qué herramienta de IA generadora de texto utilizas con mayor frecuencia en tus actividades académicas?,¿Cómo calificarías tu nivel de confianza sobre las respuestas generadas por los modelos de IA generadoras de texto? [Nivel de confianza],expediente
2026/04/08 3:09:33 p.m. GMT+0,Masculino,20,4to Semestre,45,98,7,2,1,Sí,4,Gemini,Regular,
2026/04/08 3:09:37 p.m. GMT+0,Femenino,20,4to Semestre,40,98,7,1,2,Sí,3,Gemini,Regular,
2026/04/08 3:09:38 p.m. GMT+0,Femenino,20,4to Semestre,10,92.8,7,1,1,Sí,3,Gemini,Regular,
2026/04/08 3:09:39 p.m. GMT+0,Masculino,20,4to Semestre,50,97,7,4,6,Sí,5,Gemini,Regular,
2026/04/08 3:09:42 p.m. GMT+0,Masculino,19,4to Semestre,45,98,7,1,2,Sí,3,Gemini,Regular,
2026/04/08 3:09:44 p.m. GMT+0,Femenino,19,4to Semestre,5,98,7,2,1,No,5,Gemini,Alto,
2026/04/08 3:09:48 p.m. GMT+0,Masculino,19,4to Semestre,2,88,6,2,1,Sí,2,ChatGPT,Regular,
2026/04/08 3:09:59 p.m. GMT+0,Femenino,19,4to Semestre,10,99.7,7,3,1,Sí,5,Gemini,Regular,
2026/04/08 3:10:04 p.m. GMT+0,Masculino,19,4to Semestre,3,95,7,2,1,Sí,1,ChatGPT,Regular,
2026/04/08 3:10:23 p.m. GMT+0,Femenino,20,4to Semestre,5,98,7,2,1,Sí,2,Gemini,Regular,
2026/04/08 3:10:33 p.m. GMT+0,Femenino,20,4to Semestre,2,93,7,2,1,Sí,1,Gemini,Regular,
2026/04/08 3:10:41 p.m. GMT+0,Prefiero no decirlo,19,4to Semestre,2,97,7,4,2,Sí,0,Deepseek,Regular,
2026/04/08 3:10:56 p.m. GMT+0,Femenino,20,4to Semestre,9,97,7,2,2,Sí,3,Gemini,Regular,
2026/04/08 3:11:04 p.m. GMT+0,Femenino,19,4to Semestre,0,96,6,3,2,Sí,1,Deepseek,Regular,
2026/04/08 3:11:52 p.m. GMT+0,Masculino,19,4to Semestre,4,90,5,3,4,Sí,2,Gemini,Bajo,
2026/04/08 3:12:14 p.m. GMT+0,Femenino,19,4to Semestre,15,95,7,4,1,Sí,3,Gemini,Regular,
2026/04/08 3:12:35 p.m. GMT+0,Masculino,19,4to Semestre,0,96,7,3,2,Sí,8,Copilot,Regular,
2026/04/08 3:12:38 p.m. GMT+0,Masculino,19,4to Semestre,15,99,7,2,2,Sí,10,Gemini,Regular,
2026/04/08 3:50:24 p.m. GMT+0,Masculino,18,2do Semestre,0,93.3,7,1,2,Sí,3,Grok,Regular,
2026/04/08 4:54:18 p.m. GMT+0,Femenino,24,4to Semestre,15,96,3,2,2,No,2,Gemini,Regular,
2026/04/08 5:03:27 p.m. GMT+0,Masculino,18,2do Semestre,2,90,7,2,2,Sí,3,Grok,Regular,
2026/04/08 5:04:21 p.m. GMT+0,Masculino,19,2do Semestre,1,99.7,7,1,1,Sí,2,ChatGPT,Alto,
2026/04/08 5:11:25 p.m. GMT+0,Masculino,21,8vo Semestre,1,93,5,2,3,Sí,4,ChatGPT,Regular,
2026/04/08 6:23:29 p.m. GMT+0,Masculino,26,5to Semestre,10,75,4,2,2,Sí,3,Gemini,Regular,
2026/04/08 6:34:53 p.m. GMT+0,Masculino,22,8vo Semestre,2,95,7,1,1,Sí,3,ChatGPT,Regular,
2026/04/08 6:36:47 p.m. GMT+0,Masculino,21,6to Semestre,20,89,6,1,3,Sí,5,ChatGPT,Regular,
2026/04/08 6:37:40 p.m. GMT+0,Femenino,24,8vo Semestre,4,99.7,6,5,3,Sí,2,Claude,Alto,
2026/04/08 6:38:11 p.m. GMT+0,Masculino,22,9no Semestre,40,96,5,4,2,Sí,50,Claude,Alto,
2026/04/08 6:38:12 p.m. GMT+0,Masculino,23,8vo Semestre,40,96,7,5,3,Sí,5,Gemini,Alto,
2026/04/08 6:38:13 p.m. GMT+0,Masculino,24,8vo Semestre,48,96,7,5,3,Sí,10,Gemini,Muy alto,
2026/04/08 6:38:26 p.m. GMT+0,Femenino,22,8vo Semestre,10,96,7,3,2,Sí,1,ChatGPT,Regular,
2026/04/08 6:39:17 p.m. GMT+0,Masculino,21,8vo Semestre,8,100,7,3,3,Sí,4,ChatGPT,Alto,
2026/04/08 6:40:01 p.m. GMT+0,Femenino,23,5to Semestre,6,93,7,2,1,Sí,2,ChatGPT,Regular,
2026/04/08 6:40:38 p.m. GMT+0,Femenino,21,8vo Semestre,5,99,7,5,2,Sí,5,"Claude, ChatGpt",Regular,
2026/04/08 6:41:36 p.m. GMT+0,Masculino,23,9no Semestre,9,84,5,3,2,Sí,6,Gemini,Alto,
2026/04/08 6:41:47 p.m. GMT+0,Masculino,21,8vo Semestre,4,99,7,4,4,Sí,5,ChatGPT,Regular,
2026/04/08 6:43:22 p.m. GMT+0,Masculino,70,Último semestre ,6,80,1,2,2,Sí,2,ChatGPT,Alto,
2026/04/08 6:43:44 p.m. GMT+0,Femenino,20,6to Semestre,10,99,7,5,0,No,0,Ninguna,Bajo,
2026/04/08 6:43:58 p.m. GMT+0,Masculino,20,6to Semestre,4,93,6,1,2,Sí,7,ChatGPT,Regular,
2026/04/08 6:47:55 p.m. GMT+0,Masculino,20,6to Semestre,30,96,6,3,5,Sí,2,Gemini,Regular,
2026/04/08 6:53:15 p.m. GMT+0,Masculino,21,8vo Semestre,5,98,7,2,2,Sí,10,Gemini,Alto,
2026/04/08 7:13:10 p.m. GMT+0,Masculino,22,8vo Semestre,35,90,6,3,4,Sí,2,ChatGPT,Regular,
2026/04/08 7:14:53 p.m. GMT+0,Femenino,27,6to Semestre,3,92,7,2,4,Sí,5,Gemini,Regular,
2026/04/08 7:22:20 p.m. GMT+0,Femenino,26,9no Semestre,20,94,5,1,2,Sí,5,ChatGPT,Regular,
2026/04/08 7:54:59 p.m. GMT+0,Femenino,18,2do Semestre,12,92,7,2,2,Sí,3,Gemini,Regular,
2026/04/08 8:19:12 p.m. GMT+0,Masculino,21,6to Semestre,24,89,5,2,2,Sí,3,ChatGPT,Alto,
2026/04/08 8:35:33 p.m. GMT+0,Masculino,22,7mo Semestre,10,90,6,3,3,Sí,4,ChatGPT,Regular,
